"","subject","node","timepoint","value"
"1",1,1,1,-1.21044979848238
"51",1,1,2,1.46417118827722
"101",1,1,3,-0.575695470001941
"151",1,1,4,-0.313388729167309
"201",1,1,5,-1.13009994034247
"251",1,1,6,-0.0939159374550061
"301",1,1,7,-1.00706769778159
"351",1,1,8,0.571453887153152
"401",1,1,9,-1.35902562747875
"451",1,1,10,-1.06605948424449
"501",1,1,11,-0.310344880276226
"551",1,1,12,0.455249839711361
"601",1,1,13,-1.30521707075508
"651",1,1,14,0.411608486358694
"701",1,1,15,-1.02291849181044
"751",1,1,16,-0.482569231509845
"801",1,1,17,-1.08220742658049
"851",1,1,18,2.30198211229261
"901",1,1,19,-0.950085930432831
"951",1,1,20,1.02485869341826
"1001",1,1,21,-1.1640717591425
"1051",1,1,22,-0.858416984759872
"1101",1,1,23,-0.980563721012319
"1151",1,1,24,0.338463099316566
"1201",1,1,25,0.726725185892205
"1251",1,1,26,0.445886172938266
"1301",1,1,27,-1.12239158343358
"1351",1,1,28,-2.39548568682681
"1401",1,1,29,-0.942162700509803
"1451",1,1,30,-5.54431434803077
"1501",1,1,31,-0.815317827142299
"1551",1,1,32,-1.44099676463591
"1601",1,1,33,-0.7501692253353
"1651",1,1,34,-2.0194761435598
"1701",1,1,35,1.16613558846247
"1751",1,1,36,4.68822184273537
"1801",1,1,37,-1.59484665391301
"1851",1,1,38,2.61622735804701
"1901",1,1,39,-1.58506148324869
"1951",1,1,40,-1.15095905029722
"2001",1,1,41,-1.36488409638995
"2051",1,1,42,-1.56325956882386
"2101",1,1,43,-1.24987418284494
"2151",1,1,44,-2.20736167847329
"2201",1,1,45,-0.987343801561986
"2251",1,1,46,-0.0572903856121628
"2301",1,1,47,-1.19105613993164
"2351",1,1,48,-1.24715054987621
"2401",1,1,49,-1.38525864754905
"2451",1,1,50,1.56360208882016
"2501",1,1,51,-1.41562135186972
"2551",1,1,52,-0.19135740040501
"2601",1,1,53,-1.38296846134528
"2651",1,1,54,-1.00964703018429
"2701",1,1,55,-1.03713892901735
"2751",1,1,56,1.0791528730488
"2801",1,1,57,-1.04498800547652
"2851",1,1,58,-0.856647742953448
"2901",1,1,59,-1.26092020811796
"2951",1,1,60,0.397672712278992
"3001",1,1,61,-0.478139226376259
"3051",1,1,62,-0.0831566566619047
"3101",1,1,63,-1.07040080331853
"3151",1,1,64,3.04166824257741
"3201",1,1,65,-1.15186307871542
"3251",1,1,66,0.0122870396772016
"3301",1,1,67,-1.03152913910499
"3351",1,1,68,-0.0470189018791124
"3401",1,1,69,-1.02258598180434
"3451",1,1,70,0.0607493933161266
"3501",1,1,71,-1.1925738158556
"3551",1,1,72,-1.5361896528739
"3601",1,1,73,-1.10529407640446
"3651",1,1,74,-0.499505747219451
"3701",1,1,75,-1.44444093338871
"3751",1,1,76,0.350269342853836
"3801",1,1,77,-1.17282693050399
"3851",1,1,78,1.45592441818678
"3901",1,1,79,-0.728721024350439
"3951",1,1,80,3.63506692041311
"4001",1,1,81,1.87443859648422
"4051",1,1,82,-1.50034311292494
"4101",1,1,83,-0.59761326843201
"4151",1,1,84,-0.778592950077699
"4201",1,1,85,-0.854374204709816
"4251",1,1,86,-0.72499646203963
"4301",1,1,87,-0.994917457717719
"4351",1,1,88,-1.41226510583544
"4401",1,1,89,0.0434204319478515
"4451",1,1,90,-0.500746034356852
"4501",1,1,91,-1.24893529883256
"4551",1,1,92,3.87078021568786
"4601",1,1,93,-1.44717482865597
"4651",1,1,94,-3.17399513791093
"4701",1,1,95,-1.16462200196958
"4751",1,1,96,0.277449897374222
"4801",1,1,97,-0.720310927953114
"4851",1,1,98,-0.531524288995207
"4901",1,1,99,-0.955759373747265
"4951",1,1,100,-2.7812779110016
"5001",1,2,1,-1.98524561058663
"5051",1,2,2,-1.89429666646002
"5101",1,2,3,-1.3118654012311
"5151",1,2,4,4.36913394567845
"5201",1,2,5,1.36806578719733
"5251",1,2,6,-0.12006679883063
"5301",1,2,7,0.851871559540758
"5351",1,2,8,0.677009856261667
"5401",1,2,9,-1.67995704393878
"5451",1,2,10,-1.67065602768805
"5501",1,2,11,-0.81633199377945
"5551",1,2,12,0.13128186873123
"5601",1,2,13,-1.55744657145859
"5651",1,2,14,1.51912512291885
"5701",1,2,15,-1.73444368796681
"5751",1,2,16,-2.9900154349011
"5801",1,2,17,-1.06266935563204
"5851",1,2,18,0.839478861157005
"5901",1,2,19,0.830882107466144
"5951",1,2,20,0.366666650500504
"6001",1,2,21,-1.60531084266616
"6051",1,2,22,3.1371020914661
"6101",1,2,23,-1.62464794226963
"6151",1,2,24,-0.510132033972868
"6201",1,2,25,-1.16038097572944
"6251",1,2,26,0.73245876310004
"6301",1,2,27,-1.37622030856605
"6351",1,2,28,-1.29988698437252
"6401",1,2,29,-1.54077807947972
"6451",1,2,30,-1.58514529925309
"6501",1,2,31,-1.65764727231511
"6551",1,2,32,1.29710058741018
"6601",1,2,33,-2.06597800783049
"6651",1,2,34,0.0945026948189256
"6701",1,2,35,-1.30000950733611
"6751",1,2,36,1.45311481522777
"6801",1,2,37,1.26787324695632
"6851",1,2,38,2.04356270463142
"6901",1,2,39,-1.12719224953135
"6951",1,2,40,2.13891622064246
"7001",1,2,41,-1.62186892391485
"7051",1,2,42,3.06281235883351
"7101",1,2,43,-1.18203542729682
"7151",1,2,44,1.73356554250656
"7201",1,2,45,-1.32401020086383
"7251",1,2,46,-0.819470797063554
"7301",1,2,47,-1.81795693607228
"7351",1,2,48,2.51128754813674
"7401",1,2,49,-1.03533304196482
"7451",1,2,50,0.447397529994478
"7501",1,2,51,-0.998196237504556
"7551",1,2,52,-2.91800131984757
"7601",1,2,53,-2.44098928915768
"7651",1,2,54,3.85634104380173
"7701",1,2,55,-2.04891222828617
"7751",1,2,56,1.98421932354158
"7801",1,2,57,-1.50099414808809
"7851",1,2,58,-0.807363256884019
"7901",1,2,59,-1.91430182504698
"7951",1,2,60,1.5384251259989
"8001",1,2,61,-1.14650959704707
"8051",1,2,62,-0.186363317331817
"8101",1,2,63,-1.50658692593576
"8151",1,2,64,3.16065463231298
"8201",1,2,65,-1.65657316105532
"8251",1,2,66,-1.4293900645222
"8301",1,2,67,-1.44462323178914
"8351",1,2,68,-0.846497178553166
"8401",1,2,69,-1.41605648738894
"8451",1,2,70,-3.03047342209648
"8501",1,2,71,-1.80322425459534
"8551",1,2,72,2.47572166165269
"8601",1,2,73,-1.58406045000095
"8651",1,2,74,-1.37795373215747
"8701",1,2,75,-1.59216953322368
"8751",1,2,76,3.00190431042529
"8801",1,2,77,-1.40940726480688
"8851",1,2,78,-0.0588062071339556
"8901",1,2,79,-0.976914671679538
"8951",1,2,80,-0.216963176845578
"9001",1,2,81,-1.03239216935518
"9051",1,2,82,2.11847010312358
"9101",1,2,83,-1.25375997782607
"9151",1,2,84,-4.13032524707759
"9201",1,2,85,-1.42622183194491
"9251",1,2,86,-1.97870363018536
"9301",1,2,87,-1.8701107600759
"9351",1,2,88,1.31198941481517
"9401",1,2,89,0.200858609756279
"9451",1,2,90,-1.76379677980189
"9501",1,2,91,-1.08745885702906
"9551",1,2,92,-0.0264961637986665
"9601",1,2,93,-1.56704059453227
"9651",1,2,94,-2.02494357939277
"9701",1,2,95,0.119105951419663
"9751",1,2,96,0.335912886927243
"9801",1,2,97,-1.45360274911609
"9851",1,2,98,-0.649214962444667
"9901",1,2,99,-1.51502450237638
"9951",1,2,100,-3.59665103491515
"10001",1,3,1,-2.15482046070623
"10051",1,3,2,4.27936166357414
"10101",1,3,3,-2.10716732546171
"10151",1,3,4,5.90410239269597
"10201",1,3,5,-0.736554579691639
"10251",1,3,6,1.10406038794551
"10301",1,3,7,-0.395050544971053
"10351",1,3,8,0.0837863966780058
"10401",1,3,9,-1.88541216747258
"10451",1,3,10,1.42974026976431
"10501",1,3,11,-1.51610386284606
"10551",1,3,12,0.810211374741549
"10601",1,3,13,-1.98327960494113
"10651",1,3,14,-0.809094952162083
"10701",1,3,15,-1.72380766036176
"10751",1,3,16,-0.148565196161223
"10801",1,3,17,-1.85743710914192
"10851",1,3,18,2.04439320620423
"10901",1,3,19,-0.725250104219564
"10951",1,3,20,0.279864957266009
"11001",1,3,21,-1.63504460756623
"11051",1,3,22,2.20784565197833
"11101",1,3,23,1.03490599948208
"11151",1,3,24,3.71903587597476
"11201",1,3,25,1.47680369607826
"11251",1,3,26,-2.05053088414334
"11301",1,3,27,-1.85044531517322
"11351",1,3,28,-2.93406079801675
"11401",1,3,29,-1.56821271755924
"11451",1,3,30,-3.05203980131863
"11501",1,3,31,-1.91288960600835
"11551",1,3,32,0.284200430861473
"11601",1,3,33,-1.96236798880964
"11651",1,3,34,-2.64979092634806
"11701",1,3,35,-1.73519093344295
"11751",1,3,36,-1.2496121897215
"11801",1,3,37,-0.753984790646418
"11851",1,3,38,3.33695345443262
"11901",1,3,39,-1.64525637252913
"11951",1,3,40,0.235056456898691
"12001",1,3,41,-1.41555684713269
"12051",1,3,42,0.182674526602956
"12101",1,3,43,-1.59174174441503
"12151",1,3,44,-0.228623184256867
"12201",1,3,45,-1.48589523361908
"12251",1,3,46,1.1767822433088
"12301",1,3,47,-1.85305576138077
"12351",1,3,48,1.79909248555881
"12401",1,3,49,-1.12531162323654
"12451",1,3,50,-4.38047431200104
"12501",1,3,51,-0.886471294040153
"12551",1,3,52,-3.49220793477919
"12601",1,3,53,-2.36259514051942
"12651",1,3,54,2.08169594811364
"12701",1,3,55,-1.98454359650874
"12751",1,3,56,1.69935795577915
"12801",1,3,57,-1.95273884607601
"12851",1,3,58,-0.186859026405864
"12901",1,3,59,-0.477650077910106
"12951",1,3,60,1.27853070836039
"13001",1,3,61,-1.68067995211521
"13051",1,3,62,0.452900271257836
"13101",1,3,63,-1.63177005217958
"13151",1,3,64,0.27352508051063
