"","subject","node.i","node.j","value"
"1",1,1,1,-1
"751",1,1,2,0.356743518847178
"1501",1,1,3,0
"2251",1,1,4,0
"3001",1,1,5,0.285352864931854
"3751",1,1,6,0
"4501",1,1,7,0
"5251",1,1,8,0
"6001",1,1,9,0
"6751",1,1,10,0
"7501",1,1,11,0
"8251",1,1,12,0
"9001",1,1,13,0
"9751",1,1,14,0
"10501",1,1,15,0
"51",1,2,1,0
"801",1,2,2,-1
"1551",1,2,3,0.23344156217619
"2301",1,2,4,0
"3051",1,2,5,0
"3801",1,2,6,0
"4551",1,2,7,0
"5301",1,2,8,0
"6051",1,2,9,0
"6801",1,2,10,0
"7551",1,2,11,0
"8301",1,2,12,0
"9051",1,2,13,0
"9801",1,2,14,0
"10551",1,2,15,0
"101",1,3,1,0
"851",1,3,2,0
"1601",1,3,3,-1
"2351",1,3,4,0.412533230647483
"3101",1,3,5,0
"3851",1,3,6,0
"4601",1,3,7,0
"5351",1,3,8,0.411393131352081
"6101",1,3,9,0
"6851",1,3,10,0
"7601",1,3,11,0
"8351",1,3,12,0
"9101",1,3,13,0.506676821135919
"9851",1,3,14,0
"10601",1,3,15,0
"151",1,4,1,0
"901",1,4,2,0
"1651",1,4,3,0
"2401",1,4,4,-1
"3151",1,4,5,0.428767642035855
"3901",1,4,6,0
"4651",1,4,7,0
"5401",1,4,8,0
"6151",1,4,9,0
"6901",1,4,10,0
"7651",1,4,11,0
"8401",1,4,12,0
"9151",1,4,13,0
"9901",1,4,14,0
"10651",1,4,15,0
"201",1,5,1,0
"951",1,5,2,0
"1701",1,5,3,0
"2451",1,5,4,0
"3201",1,5,5,-1
"3951",1,5,6,0
"4701",1,5,7,0
"5451",1,5,8,0
"6201",1,5,9,0
"6951",1,5,10,0
"7701",1,5,11,0
"8451",1,5,12,0
"9201",1,5,13,0
"9951",1,5,14,0
"10701",1,5,15,0
"251",1,6,1,0
"1001",1,6,2,0
"1751",1,6,3,0
"2501",1,6,4,0
"3251",1,6,5,0
"4001",1,6,6,-1
"4751",1,6,7,0.5190915465643
"5501",1,6,8,0
"6251",1,6,9,0
"7001",1,6,10,0.417463914282092
"7751",1,6,11,0
"8501",1,6,12,0
"9251",1,6,13,0
"10001",1,6,14,0
"10751",1,6,15,0
"301",1,7,1,0
"1051",1,7,2,0
"1801",1,7,3,0
"2551",1,7,4,0
"3301",1,7,5,0
"4051",1,7,6,0
"4801",1,7,7,-1
"5551",1,7,8,0.51891642016521
"6301",1,7,9,0
"7051",1,7,10,0
"7801",1,7,11,0
"8551",1,7,12,0
"9301",1,7,13,0
"10051",1,7,14,0
"10801",1,7,15,0
"351",1,8,1,0
"1101",1,8,2,0
"1851",1,8,3,0
"2601",1,8,4,0
"3351",1,8,5,0
"4101",1,8,6,0
"4851",1,8,7,0
"5601",1,8,8,-1
"6351",1,8,9,0.396236672340668
"7101",1,8,10,0
"7851",1,8,11,0
"8601",1,8,12,0
"9351",1,8,13,0.405928146052361
"10101",1,8,14,0
"10851",1,8,15,0
"401",1,9,1,0
"1151",1,9,2,0
"1901",1,9,3,0
"2651",1,9,4,0
"3401",1,9,5,0
"4151",1,9,6,0
"4901",1,9,7,0
"5651",1,9,8,0
"6401",1,9,9,-1
"7151",1,9,10,0.432729236140865
"7901",1,9,11,0
"8651",1,9,12,0
"9401",1,9,13,0
"10151",1,9,14,0
"10901",1,9,15,0
"451",1,10,1,0
"1201",1,10,2,0
"1951",1,10,3,0
"2701",1,10,4,0
"3451",1,10,5,0
"4201",1,10,6,0
"4951",1,10,7,0
"5701",1,10,8,0
"6451",1,10,9,0
"7201",1,10,10,-1
"7951",1,10,11,0
"8701",1,10,12,0
"9451",1,10,13,0
"10201",1,10,14,0
"10951",1,10,15,0
"501",1,11,1,0
"1251",1,11,2,0
"2001",1,11,3,0
"2751",1,11,4,0
"3501",1,11,5,0
"4251",1,11,6,0
"5001",1,11,7,0
"5751",1,11,8,0
"6501",1,11,9,0
"7251",1,11,10,0
"8001",1,11,11,-1
"8751",1,11,12,0.381329142231856
"9501",1,11,13,0
"10251",1,11,14,0
"11001",1,11,15,0.38636041169134
"551",1,12,1,0
"1301",1,12,2,0
"2051",1,12,3,0
"2801",1,12,4,0
"3551",1,12,5,0
"4301",1,12,6,0
"5051",1,12,7,0
"5801",1,12,8,0
"6551",1,12,9,0
"7301",1,12,10,0
"8051",1,12,11,0
"8801",1,12,12,-1
"9551",1,12,13,0.47257905482933
"10301",1,12,14,0
"11051",1,12,15,0
"601",1,13,1,0
"1351",1,13,2,0
"2101",1,13,3,0
"2851",1,13,4,0
"3601",1,13,5,0
"4351",1,13,6,0
"5101",1,13,7,0
"5851",1,13,8,0
"6601",1,13,9,0
"7351",1,13,10,0
"8101",1,13,11,0
"8851",1,13,12,0
"9601",1,13,13,-1
"10351",1,13,14,0.341168345698581
"11101",1,13,15,0
"651",1,14,1,0
"1401",1,14,2,0
"2151",1,14,3,0
"2901",1,14,4,0
"3651",1,14,5,0
"4401",1,14,6,0
"5151",1,14,7,0
"5901",1,14,8,0
"6651",1,14,9,0
"7401",1,14,10,0
"8151",1,14,11,0
"8901",1,14,12,0
"9651",1,14,13,0
"10401",1,14,14,-1
"11151",1,14,15,0.6
"701",1,15,1,0
"1451",1,15,2,0
"2201",1,15,3,0
"2951",1,15,4,0
"3701",1,15,5,0
"4451",1,15,6,0
"5201",1,15,7,0
"5951",1,15,8,0
"6701",1,15,9,0
"7451",1,15,10,0
"8201",1,15,11,0
"8951",1,15,12,0
"9701",1,15,13,0
"10451",1,15,14,0
"11201",1,15,15,-1
"2",2,1,1,-1
"752",2,1,2,0.390435159451633
"1502",2,1,3,0
"2252",2,1,4,0
"3002",2,1,5,0.471432455181895
"3752",2,1,6,0
"4502",2,1,7,0
"5252",2,1,8,0
"6002",2,1,9,0
"6752",2,1,10,0
"7502",2,1,11,0
"8252",2,1,12,0
"9002",2,1,13,0
"9752",2,1,14,0
"10502",2,1,15,0
"52",2,2,1,0
"802",2,2,2,-1
"1552",2,2,3,0.316765053634998
"2302",2,2,4,0
"3052",2,2,5,0
"3802",2,2,6,0
"4552",2,2,7,0
"5302",2,2,8,0
"6052",2,2,9,0
"6802",2,2,10,0
"7552",2,2,11,0
"8302",2,2,12,0
"9052",2,2,13,0
"9802",2,2,14,0
"10552",2,2,15,0
"102",2,3,1,0
"852",2,3,2,0
"1602",2,3,3,-1
"2352",2,3,4,0.429441081639264
"3102",2,3,5,0
"3852",2,3,6,0
"4602",2,3,7,0
"5352",2,3,8,0.471190832350089
"6102",2,3,9,0
"6852",2,3,10,0
"7602",2,3,11,0
"8352",2,3,12,0
"9102",2,3,13,0.529024975493248
"9852",2,3,14,0
"10602",2,3,15,0
"152",2,4,1,0
"902",2,4,2,0
"1652",2,4,3,0
"2402",2,4,4,-1
"3152",2,4,5,0.26638181420622
"3902",2,4,6,0
"4652",2,4,7,0
"5402",2,4,8,0
"6152",2,4,9,0
"6902",2,4,10,0
"7652",2,4,11,0
"8402",2,4,12,0
"9152",2,4,13,0
"9902",2,4,14,0
"10652",2,4,15,0
"202",2,5,1,0
"952",2,5,2,0
"1702",2,5,3,0
"2452",2,5,4,0
"3202",2,5,5,-1
"3952",2,5,6,0
"4702",2,5,7,0
"5452",2,5,8,0
"6202",2,5,9,0
"6952",2,5,10,0
"7702",2,5,11,0
"8452",2,5,12,0
"9202",2,5,13,0
"9952",2,5,14,0
"10702",2,5,15,0
"252",2,6,1,0
"1002",2,6,2,0
"1752",2,6,3,0
"2502",2,6,4,0
"3252",2,6,5,0
"4002",2,6,6,-1
"4752",2,6,7,0.562356206444627
"5502",2,6,8,0
"6252",2,6,9,0
"7002",2,6,10,0.240627042355252
"7752",2,6,11,0
"8502",2,6,12,0
"9252",2,6,13,0
"10002",2,6,14,0
"10752",2,6,15,0
"302",2,7,1,0
"1052",2,7,2,0
"1802",2,7,3,0
"2552",2,7,4,0
"3302",2,7,5,0
"4052",2,7,6,0
"4802",2,7,7,-1
"5552",2,7,8,0.330822429829771
"6302",2,7,9,0
"7052",2,7,10,0
"7802",2,7,11,0
"8552",2,7,12,0
"9302",2,7,13,0
"10052",2,7,14,0
"10802",2,7,15,0
"352",2,8,1,0
"1102",2,8,2,0
"1852",2,8,3,0
"2602",2,8,4,0
"3352",2,8,5,0
"4102",2,8,6,0
"4852",2,8,7,0
"5602",2,8,8,-1
"6352",2,8,9,0.485799667282826
"7102",2,8,10,0
"7852",2,8,11,0
"8602",2,8,12,0
"9352",2,8,13,0.466860050568204
"10102",2,8,14,0
"10852",2,8,15,0
"402",2,9,1,0
"1152",2,9,2,0
"1902",2,9,3,0
"2652",2,9,4,0
"3402",2,9,5,0
"4152",2,9,6,0
"4902",2,9,7,0
