"","subject","node","timepoint","value"
"1",1,1,1,-1.68689768718833
"51",1,1,2,1.24673696850141
"101",1,1,3,-0.409304314429917
"151",1,1,4,-2.9375226673458
"201",1,1,5,-1.30206437961886
"251",1,1,6,1.67403717799064
"301",1,1,7,1.88372411676795
"351",1,1,8,1.91375769036311
"401",1,1,9,-1.49866305833327
"451",1,1,10,-0.898474713781844
"501",1,1,11,-0.0559832703507875
"551",1,1,12,-2.05049999470227
"601",1,1,13,0.186396681865451
"651",1,1,14,1.92631654584393
"701",1,1,15,-1.13542302180162
"751",1,1,16,2.91375737833689
"801",1,1,17,-1.60924184076906
"851",1,1,18,2.84594364416442
"901",1,1,19,0.249024248283036
"951",1,1,20,1.10842758686116
"1001",1,1,21,-1.61587497437281
"1051",1,1,22,-0.145437943086665
"1101",1,1,23,1.21776887798743
"1151",1,1,24,3.05562320415986
"1201",1,1,25,0.178805565188816
"1251",1,1,26,-0.39312541931496
"1301",1,1,27,-0.815716750525085
"1351",1,1,28,1.64530986000135
"1401",1,1,29,-2.16846856282393
"1451",1,1,30,-3.1584661461097
"1501",1,1,31,-0.952814933126388
"1551",1,1,32,-0.0703288787677979
"1601",1,1,33,-2.50058137758724
"1651",1,1,34,-2.43221411344262
"1701",1,1,35,3.12299420384772
"1751",1,1,36,2.30834482782184
"1801",1,1,37,-0.497018590313471
"1851",1,1,38,1.79350114217064
"1901",1,1,39,-0.189707649416819
"1951",1,1,40,0.193530702429753
"2001",1,1,41,-0.984422259366659
"2051",1,1,42,-0.487412463458198
"2101",1,1,43,-2.97478189508983
"2151",1,1,44,3.25026512635418
"2201",1,1,45,0.148588690899977
"2251",1,1,46,0.833912597545684
"2301",1,1,47,2.71922986326619
"2351",1,1,48,2.43169871182292
"2401",1,1,49,-1.4793172934071
"2451",1,1,50,2.70724729193127
"2501",1,1,51,-2.02781110088763
"2551",1,1,52,-0.988248818306155
"2601",1,1,53,-0.920655221301836
"2651",1,1,54,-0.855177996933483
"2701",1,1,55,0.921013401798853
"2751",1,1,56,3.87388141286488
"2801",1,1,57,-1.01328445876129
"2851",1,1,58,-1.67755838472772
"2901",1,1,59,-0.906877389880797
"2951",1,1,60,-1.74863191558549
"3001",1,1,61,-0.481196667713397
"3051",1,1,62,-0.546540079247509
"3101",1,1,63,0.0131870102581523
"3151",1,1,64,0.816255466178325
"3201",1,1,65,-1.26343904880837
"3251",1,1,66,-0.369229113656488
"3301",1,1,67,-0.334260756369658
"3351",1,1,68,-3.53743045534026
"3401",1,1,69,-0.657786042679723
"3451",1,1,70,-0.0799314120958616
"3501",1,1,71,-0.0549390328653813
"3551",1,1,72,-1.86571620218322
"3601",1,1,73,-1.76842341628677
"3651",1,1,74,0.573650044851306
"3701",1,1,75,-7.6659826394208
"3751",1,1,76,-0.474408064278844
"3801",1,1,77,-0.167488012481055
"3851",1,1,78,0.109953837905758
"3901",1,1,79,1.51030423333379
"3951",1,1,80,-0.895928935537228
"4001",1,1,81,-1.6907726008264
"4051",1,1,82,-1.26225129158255
"4101",1,1,83,-0.796375094693721
"4151",1,1,84,1.9576908503004
"4201",1,1,85,-1.87524431706814
"4251",1,1,86,-1.13608859370937
"4301",1,1,87,-1.25948239101996
"4351",1,1,88,-1.50136534532079
"4401",1,1,89,0.833788740422406
"4451",1,1,90,-0.668249676922093
"4501",1,1,91,4.51230150062405
"4551",1,1,92,1.21185270829982
"4601",1,1,93,-3.38085022764605
"4651",1,1,94,-3.50114886830895
"4701",1,1,95,3.0735288410788
"4751",1,1,96,0.743915471275873
"4801",1,1,97,-1.14893211726565
"4851",1,1,98,-0.681545711778527
"4901",1,1,99,-0.785533969886548
"4951",1,1,100,-0.143866311524695
"5001",1,1,101,-0.236721679515917
"5051",1,1,102,-1.256044850604
"5101",1,1,103,0.191177262287946
"5151",1,1,104,-1.78839200474183
"5201",1,1,105,-0.635229762531807
"5251",1,1,106,0.530343826837693
"5301",1,1,107,2.2873488290417
"5351",1,1,108,1.0658798076107
"5401",1,1,109,-1.10362049402294
"5451",1,1,110,2.18549159067742
"5501",1,1,111,1.40763244209521
"5551",1,1,112,1.66645383950123
"5601",1,1,113,-1.2549794233794
"5651",1,1,114,-0.0309559320765501
"5701",1,1,115,0.791105387178953
"5751",1,1,116,-0.491777420486158
"5801",1,1,117,-0.329811252253183
"5851",1,1,118,-0.620044209926337
"5901",1,1,119,-0.0264054749823096
"5951",1,1,120,-2.01267711675364
"6001",1,1,121,-1.24837695510819
"6051",1,1,122,-3.40574259150363
"6101",1,1,123,-1.07119104939832
"6151",1,1,124,3.05540079452321
"6201",1,1,125,0.778571239118151
"6251",1,1,126,2.22996251439107
"6301",1,1,127,-0.706850276342506
"6351",1,1,128,2.67228106648532
"6401",1,1,129,-0.800253101684311
"6451",1,1,130,-2.74509321984119
"6501",1,1,131,-0.730952023093134
"6551",1,1,132,0.571997964838216
"6601",1,1,133,-1.07733093628973
"6651",1,1,134,0.702142193543947
"6701",1,1,135,3.57770008380272
"6751",1,1,136,2.41399796198834
"6801",1,1,137,-1.56919780573313
"6851",1,1,138,0.834663867353264
"6901",1,1,139,-0.0902702199353664
"6951",1,1,140,-2.37137892703527
"7001",1,1,141,-3.57465113170211
"7051",1,1,142,1.37169948436557
"7101",1,1,143,-0.855073050080384
"7151",1,1,144,-2.46818145595173
"7201",1,1,145,-0.569854065272403
"7251",1,1,146,4.24681922119938
"7301",1,1,147,-1.12043785755212
"7351",1,1,148,4.04454187602548
"7401",1,1,149,1.81600684534387
"7451",1,1,150,1.1759829619442
"7501",1,1,151,-0.734349880690201
"7551",1,1,152,-0.301434488603955
"7601",1,1,153,-1.33961022663228
"7651",1,1,154,-1.8687569449446
"7701",1,1,155,-0.68997756013504
"7751",1,1,156,2.50871459829704
"7801",1,1,157,-1.95893652831574
"7851",1,1,158,-0.948990388005448
"7901",1,1,159,3.53998940443711
"7951",1,1,160,0.755623896624219
"8001",1,1,161,-0.776078207698037
"8051",1,1,162,2.86679240047481
"8101",1,1,163,0.0669656543407928
"8151",1,1,164,5.11218239672949
"8201",1,1,165,-0.608767413539882
"8251",1,1,166,0.195396476263168
"8301",1,1,167,-1.07449247562495
"8351",1,1,168,0.935806130494219
"8401",1,1,169,-2.16861920342281
"8451",1,1,170,-7.40447226778009
"8501",1,1,171,-0.171888473482936
"8551",1,1,172,0.172015193900176
"8601",1,1,173,-0.577415868045645
"8651",1,1,174,-1.11007374316016
"8701",1,1,175,-0.812243316700068
"8751",1,1,176,-0.950700556351974
"8801",1,1,177,-0.389398341608449
"8851",1,1,178,1.84990199640601
"8901",1,1,179,1.46804307685964
"8951",1,1,180,-0.840879985264328
"9001",1,1,181,-0.977269516945973
"9051",1,1,182,-2.16123969883431
"9101",1,1,183,-1.44689958773212
"9151",1,1,184,0.110596050562765
"9201",1,1,185,0.120247517008202
"9251",1,1,186,5.76037004160578
"9301",1,1,187,-5.240896530958
"9351",1,1,188,-1.90212561591537
"9401",1,1,189,-0.762479844763227
"9451",1,1,190,0.707551610085912
"9501",1,1,191,-0.688172531911683
"9551",1,1,192,1.87964326700759
"9601",1,1,193,0.143589647707367
"9651",1,1,194,-1.49693329206879
"9701",1,1,195,-2.90273925379823
"9751",1,1,196,1.39233041597789
"9801",1,1,197,-1.78678300491878
"9851",1,1,198,-1.26259578459825
"9901",1,1,199,-2.2678121738806
"9951",1,1,200,-2.24829933946302
"10001",1,2,1,-1.2840613505251
"10051",1,2,2,3.99806814293848
"10101",1,2,3,-4.06952508519397
"10151",1,2,4,-4.18065245626744
"10201",1,2,5,-0.759590653908927
"10251",1,2,6,1.37163227693114
"10301",1,2,7,2.17825833981876
"10351",1,2,8,0.774569751702269
"10401",1,2,9,-1.83200445753727
"10451",1,2,10,4.45373872512421
"10501",1,2,11,0.713042258678157
"10551",1,2,12,-1.94680013222298
"10601",1,2,13,-2.3364923841263
"10651",1,2,14,-1.54206034876067
"10701",1,2,15,1.34758967994932
"10751",1,2,16,1.16189616734319
"10801",1,2,17,0.287202224834407
"10851",1,2,18,3.46453449371615
"10901",1,2,19,-1.73202648811909
"10951",1,2,20,-1.2874258805215
"11001",1,2,21,-1.35543633332652
"11051",1,2,22,-0.433320762821011
"11101",1,2,23,-1.59278233897639
"11151",1,2,24,-0.501708938300395
"11201",1,2,25,-1.38189595429695
"11251",1,2,26,-3.53125811109241
"11301",1,2,27,-2.20093718601322
"11351",1,2,28,1.65114354107105
"11401",1,2,29,0.0935426754418182
"11451",1,2,30,-3.53936586823254
"11501",1,2,31,-0.437593694902065
"11551",1,2,32,-2.08923302494334
"11601",1,2,33,-1.14335936246193
"11651",1,2,34,-1.82477942177133
"11701",1,2,35,-2.39426899333936
"11751",1,2,36,0.653122821608317
"11801",1,2,37,-2.84984137744206
"11851",1,2,38,2.11138374421044
"11901",1,2,39,2.67708532949402
"11951",1,2,40,-3.02115515466317
"12001",1,2,41,-1.46906249778146
"12051",1,2,42,-1.64621864710776
"12101",1,2,43,-0.246652124211392
"12151",1,2,44,0.58886855001961
"12201",1,2,45,-1.48116421218552
"12251",1,2,46,-1.51713295917328
"12301",1,2,47,-0.249349888049404
"12351",1,2,48,-0.207177248676447
"12401",1,2,49,-1.86203972818056
"12451",1,2,50,-2.11006219635514
"12501",1,2,51,3.57557217537871
"12551",1,2,52,3.15893600507919
"12601",1,2,53,-2.00894549279799
"12651",1,2,54,0.824730822534834
"12701",1,2,55,0.388216106387604
"12751",1,2,56,1.42451854159588
"12801",1,2,57,-1.71163359383567
"12851",1,2,58,0.493116175689608
"12901",1,2,59,3.37503266398765
"12951",1,2,60,4.27580261399377
"13001",1,2,61,-0.399090426258816
"13051",1,2,62,1.14578143769484
"13101",1,2,63,-0.70061053638241
"13151",1,2,64,-0.298085395399883
"13201",1,2,65,-1.6778747131151
"13251",1,2,66,0.493022238866424
"13301",1,2,67,2.53838395399794
"13351",1,2,68,2.58314821131161
"13401",1,2,69,-1.99507198770845
"13451",1,2,70,1.23291685669836
"13501",1,2,71,-1.74148039825831
"13551",1,2,72,-4.58172326608457
"13601",1,2,73,-1.45543644930648
"13651",1,2,74,-3.37426123170697
"13701",1,2,75,-1.75111469832721
"13751",1,2,76,2.60487909768516
"13801",1,2,77,-3.91131042782552
"13851",1,2,78,-0.493030821631593
"13901",1,2,79,-0.669220054421954
"13951",1,2,80,-0.764866513181448
"14001",1,2,81,1.77574607460127
"14051",1,2,82,3.98599918137574
"14101",1,2,83,0.937468132691035
"14151",1,2,84,3.11699363971254
"14201",1,2,85,-1.49945136200792
"14251",1,2,86,-1.54350116953041
"14301",1,2,87,0.525721268841901
"14351",1,2,88,-0.129756449924585
"14401",1,2,89,-0.718386899396332
"14451",1,2,90,-0.161696406128093
"14501",1,2,91,0.00525136693027514
"14551",1,2,92,0.30298169237342
"14601",1,2,93,-0.44980024111408
"14651",1,2,94,-1.306416643112
"14701",1,2,95,0.32417234513123
"14751",1,2,96,-0.223134997360134
"14801",1,2,97,-1.98859141025414
"14851",1,2,98,2.14822067090249
"14901",1,2,99,-0.16356770024651
"14951",1,2,100,3.87748632755062
"15001",1,2,101,-0.446472016784999
"15051",1,2,102,-1.62768404256565
"15101",1,2,103,4.17849807931363
"15151",1,2,104,-0.3656948690858
"15201",1,2,105,-1.37348080527298
"15251",1,2,106,1.28258359774059
"15301",1,2,107,5.44564139544866
"15351",1,2,108,-1.92286889633435
"15401",1,2,109,3.8227494855486
"15451",1,2,110,5.14495177215929
"15501",1,2,111,1.2613446853599
"15551",1,2,112,4.49363056341216
"15601",1,2,113,-0.818081405845502
"15651",1,2,114,-2.13309745545897
"15701",1,2,115,0.86012919247449
"15751",1,2,116,-2.90771152593234
"15801",1,2,117,-0.506008163872367
"15851",1,2,118,2.56193343534725
"15901",1,2,119,0.171426935511339
"15951",1,2,120,0.944416947725285
"16001",1,2,121,-0.323318445318645
"16051",1,2,122,-0.856214505941746
"16101",1,2,123,-1.23011858353765
"16151",1,2,124,4.99084226974268
"16201",1,2,125,0.842745444561112
"16251",1,2,126,3.25916888490355
"16301",1,2,127,0.976924861845822
"16351",1,2,128,-2.09784109381684
"16401",1,2,129,-1.45368316283025
"16451",1,2,130,-0.159803166966308
"16501",1,2,131,-0.777299859298278
"16551",1,2,132,-0.0713420446760105
"16601",1,2,133,1.93126878535155
"16651",1,2,134,2.74717937630924
"16701",1,2,135,0.32970078580254
"16751",1,2,136,-3.24126855942815
"16801",1,2,137,-3.28448460704015
"16851",1,2,138,1.81400560231387
"16901",1,2,139,-1.30653184159484
"16951",1,2,140,1.84292601689341
"17001",1,2,141,1.08292687856661
"17051",1,2,142,-1.22066924519357
"17101",1,2,143,-2.33894607707231
"17151",1,2,144,0.894529701569572
"17201",1,2,145,-1.97196541569025
"17251",1,2,146,2.85147749532745
"17301",1,2,147,-3.51734996943738
"17351",1,2,148,1.88562672416657
"17401",1,2,149,-0.251526286030658
"17451",1,2,150,-0.906444923378274
"17501",1,2,151,1.99014511758467
"17551",1,2,152,-2.47712206653164
"17601",1,2,153,-1.92152365616353
"17651",1,2,154,1.78121707244266
"17701",1,2,155,-3.23338238444493
"17751",1,2,156,0.158159268801553
"17801",1,2,157,0.0755665922579286
"17851",1,2,158,-1.2167979123308
"17901",1,2,159,1.44336237553711
"17951",1,2,160,-0.524704032057075
"18001",1,2,161,-1.4660632992912
"18051",1,2,162,4.3389916899648
"18101",1,2,163,-0.0882294539137473
"18151",1,2,164,0.08780216117618
"18201",1,2,165,-2.00591499634805
"18251",1,2,166,0.951714764011654
"18301",1,2,167,2.5097731101648
"18351",1,2,168,0.652732414969039
"18401",1,2,169,-3.50007231132465
"18451",1,2,170,-1.62579574041633
"18501",1,2,171,5.34952438488896
"18551",1,2,172,2.04072275158035
"18601",1,2,173,-3.18267732173862
"18651",1,2,174,-2.45436139958519
"18701",1,2,175,1.13589773842653
"18751",1,2,176,0.619035730241931
"18801",1,2,177,-1.95659907293064
"18851",1,2,178,-1.10667143949812
"18901",1,2,179,-1.90117996215682
"18951",1,2,180,0.815442703297275
"19001",1,2,181,0.0631591070960467
"19051",1,2,182,0.140325725615381
"19101",1,2,183,0.303318920969742
"19151",1,2,184,1.85487581926707
"19201",1,2,185,0.930603403128186
"19251",1,2,186,-1.00383573738648
"19301",1,2,187,-3.29270635282435
"19351",1,2,188,2.33372517554468
"19401",1,2,189,-1.71099614191476
"19451",1,2,190,-4.51537645953097
"19501",1,2,191,1.59693195529612
"19551",1,2,192,-1.94270249395159
"19601",1,2,193,-0.886523135862796
"19651",1,2,194,-2.6768684042034
"19701",1,2,195,0.291873464816131
"19751",1,2,196,1.93132503299692
"19801",1,2,197,0.588573195139776
"19851",1,2,198,0.437509542663436
"19901",1,2,199,-0.602923849176628
"19951",1,2,200,-0.798313318412048
"20001",1,3,1,-0.676028197905032
"20051",1,3,2,-1.13121875789735
"20101",1,3,3,0.222353411188086
"20151",1,3,4,-1.72953859948563
"20201",1,3,5,-1.60644590119167
"20251",1,3,6,-0.43451553924856
"20301",1,3,7,-2.37218700690839
"20351",1,3,8,-1.12005279839362
"20401",1,3,9,-2.88081321373023
"20451",1,3,10,1.2988253156304
"20501",1,3,11,-0.503588367855948
"20551",1,3,12,-0.014253887929384
"20601",1,3,13,-1.78087120292317
"20651",1,3,14,-1.20888108355097
