"","subject","node.i","node.j","value"
"1",1,1,1,-1
"2501",1,1,2,0.356743518847178
"5001",1,1,3,0
"7501",1,1,4,0
"10001",1,1,5,0.285352864931854
"12501",1,1,6,0
"15001",1,1,7,0
"17501",1,1,8,0
"20001",1,1,9,0
"22501",1,1,10,0
"25001",1,1,11,0
"27501",1,1,12,0
"30001",1,1,13,0
"32501",1,1,14,0
"35001",1,1,15,0
"37501",1,1,16,0
"40001",1,1,17,0
"42501",1,1,18,0
"45001",1,1,19,0
"47501",1,1,20,0
"50001",1,1,21,0
"52501",1,1,22,0
"55001",1,1,23,0
"57501",1,1,24,0
"60001",1,1,25,0
"62501",1,1,26,0
"65001",1,1,27,0
"67501",1,1,28,0
"70001",1,1,29,0
"72501",1,1,30,0
"75001",1,1,31,0
"77501",1,1,32,0
"80001",1,1,33,0
"82501",1,1,34,0
"85001",1,1,35,0
"87501",1,1,36,0
"90001",1,1,37,0
"92501",1,1,38,0
"95001",1,1,39,0
"97501",1,1,40,0
"100001",1,1,41,0
"102501",1,1,42,0
"105001",1,1,43,0
"107501",1,1,44,0
"110001",1,1,45,0
"112501",1,1,46,0
"115001",1,1,47,0
"117501",1,1,48,0
"120001",1,1,49,0
"122501",1,1,50,0
"51",1,2,1,0
"2551",1,2,2,-1
"5051",1,2,3,0.23344156217619
"7551",1,2,4,0
"10051",1,2,5,0
"12551",1,2,6,0
"15051",1,2,7,0
"17551",1,2,8,0
"20051",1,2,9,0
"22551",1,2,10,0
"25051",1,2,11,0
"27551",1,2,12,0
"30051",1,2,13,0
"32551",1,2,14,0
"35051",1,2,15,0
"37551",1,2,16,0
"40051",1,2,17,0
"42551",1,2,18,0
"45051",1,2,19,0
"47551",1,2,20,0
"50051",1,2,21,0
"52551",1,2,22,0
"55051",1,2,23,0
"57551",1,2,24,0
"60051",1,2,25,0
"62551",1,2,26,0
"65051",1,2,27,0
"67551",1,2,28,0
"70051",1,2,29,0
"72551",1,2,30,0
"75051",1,2,31,0
"77551",1,2,32,0
"80051",1,2,33,0
"82551",1,2,34,0
"85051",1,2,35,0
"87551",1,2,36,0
"90051",1,2,37,0
"92551",1,2,38,0
"95051",1,2,39,0
"97551",1,2,40,0
"100051",1,2,41,0
"102551",1,2,42,0
"105051",1,2,43,0
"107551",1,2,44,0
"110051",1,2,45,0
"112551",1,2,46,0
"115051",1,2,47,0
"117551",1,2,48,0
"120051",1,2,49,0
"122551",1,2,50,0
"101",1,3,1,0
"2601",1,3,2,0
"5101",1,3,3,-1
"7601",1,3,4,0.412533230647483
"10101",1,3,5,0
"12601",1,3,6,0
"15101",1,3,7,0
"17601",1,3,8,0.298936629352575
"20101",1,3,9,0
"22601",1,3,10,0
"25101",1,3,11,0
"27601",1,3,12,0
"30101",1,3,13,0
"32601",1,3,14,0
"35101",1,3,15,0
"37601",1,3,16,0
"40101",1,3,17,0
"42601",1,3,18,0
"45101",1,3,19,0
"47601",1,3,20,0
"50101",1,3,21,0
"52601",1,3,22,0
"55101",1,3,23,0.459128258692418
"57601",1,3,24,0
"60101",1,3,25,0
"62601",1,3,26,0
"65101",1,3,27,0
"67601",1,3,28,0.400004319184163
"70101",1,3,29,0
"72601",1,3,30,0
"75101",1,3,31,0
"77601",1,3,32,0
"80101",1,3,33,0
"82601",1,3,34,0
"85101",1,3,35,0
"87601",1,3,36,0
"90101",1,3,37,0
"92601",1,3,38,0
"95101",1,3,39,0
"97601",1,3,40,0
"100101",1,3,41,0
"102601",1,3,42,0
"105101",1,3,43,0
"107601",1,3,44,0
"110101",1,3,45,0
"112601",1,3,46,0
"115101",1,3,47,0
"117601",1,3,48,0
"120101",1,3,49,0
"122601",1,3,50,0
"151",1,4,1,0
"2651",1,4,2,0
