"","subject","node.i","node.j","value"
"1",1,1,1,-1
"501",1,1,2,0.356743518847178
"1001",1,1,3,0
"1501",1,1,4,0
"2001",1,1,5,0.285352864931854
"2501",1,1,6,0
"3001",1,1,7,0
"3501",1,1,8,0
"4001",1,1,9,0
"4501",1,1,10,0
"51",1,2,1,0
"551",1,2,2,-1
"1051",1,2,3,0.23344156217619
"1551",1,2,4,0
"2051",1,2,5,0
"2551",1,2,6,0
"3051",1,2,7,0
"3551",1,2,8,0
"4051",1,2,9,0
"4551",1,2,10,0
"101",1,3,1,0
"601",1,3,2,0
"1101",1,3,3,-1
"1601",1,3,4,0.412533230647483
"2101",1,3,5,0
"2601",1,3,6,0
"3101",1,3,7,0
"3601",1,3,8,0.381329142231856
"4101",1,3,9,0
"4601",1,3,10,0
"151",1,4,1,0
"651",1,4,2,0
"1151",1,4,3,0
"1651",1,4,4,-1
"2151",1,4,5,0.428767642035855
"2651",1,4,6,0
"3151",1,4,7,0
"3651",1,4,8,0
"4151",1,4,9,0
"4651",1,4,10,0
"201",1,5,1,0
"701",1,5,2,0
"1201",1,5,3,0
"1701",1,5,4,0
"2201",1,5,5,-1
"2701",1,5,6,0
"3201",1,5,7,0
"3701",1,5,8,0
"4201",1,5,9,0
"4701",1,5,10,0
"251",1,6,1,0
"751",1,6,2,0
"1251",1,6,3,0
"1751",1,6,4,0
"2251",1,6,5,0
"2751",1,6,6,-1
"3251",1,6,7,0.5190915465643
"3751",1,6,8,0
"4251",1,6,9,0
"4751",1,6,10,0.417463914282092
"301",1,7,1,0
"801",1,7,2,0
"1301",1,7,3,0
"1801",1,7,4,0
"2301",1,7,5,0
"2801",1,7,6,0
"3301",1,7,7,-1
"3801",1,7,8,0.51891642016521
"4301",1,7,9,0
"4801",1,7,10,0
"351",1,8,1,0
"851",1,8,2,0
"1351",1,8,3,0
"1851",1,8,4,0
"2351",1,8,5,0
"2851",1,8,6,0
"3351",1,8,7,0
"3851",1,8,8,-1
"4351",1,8,9,0.396236672340668
"4851",1,8,10,0
"401",1,9,1,0
"901",1,9,2,0
"1401",1,9,3,0
"1901",1,9,4,0
"2401",1,9,5,0
"2901",1,9,6,0
"3401",1,9,7,0
"3901",1,9,8,0
"4401",1,9,9,-1
"4901",1,9,10,0.432729236140865
"451",1,10,1,0
"951",1,10,2,0
"1451",1,10,3,0
"1951",1,10,4,0
"2451",1,10,5,0
"2951",1,10,6,0
"3451",1,10,7,0
"3951",1,10,8,0
"4451",1,10,9,0
"4951",1,10,10,-1
"2",2,1,1,-1
"502",2,1,2,0.47257905482933
"1002",2,1,3,0
"1502",2,1,4,0
"2002",2,1,5,0.411393131352081
"2502",2,1,6,0
"3002",2,1,7,0
"3502",2,1,8,0
"4002",2,1,9,0
"4502",2,1,10,0
"52",2,2,1,0
"552",2,2,2,-1
"1052",2,2,3,0.341168345698581
"1552",2,2,4,0
"2052",2,2,5,0
"2552",2,2,6,0
"3052",2,2,7,0
"3552",2,2,8,0
"4052",2,2,9,0
"4552",2,2,10,0
"102",2,3,1,0
"602",2,3,2,0
"1102",2,3,3,-1
"1602",2,3,4,0.6
"2102",2,3,5,0
"2602",2,3,6,0
"3102",2,3,7,0
"3602",2,3,8,0.26638181420622
"4102",2,3,9,0
"4602",2,3,10,0
"152",2,4,1,0
"652",2,4,2,0
"1152",2,4,3,0
"1652",2,4,4,-1
"2152",2,4,5,0.38636041169134
"2652",2,4,6,0
"3152",2,4,7,0
"3652",2,4,8,0
"4152",2,4,9,0
"4652",2,4,10,0
"202",2,5,1,0
"702",2,5,2,0
"1202",2,5,3,0
"1702",2,5,4,0
"2202",2,5,5,-1
"2702",2,5,6,0
"3202",2,5,7,0
"3702",2,5,8,0
"4202",2,5,9,0
"4702",2,5,10,0
"252",2,6,1,0
"752",2,6,2,0
"1252",2,6,3,0
"1752",2,6,4,0
"2252",2,6,5,0
"2752",2,6,6,-1
"3252",2,6,7,0.506676821135919
"3752",2,6,8,0
"4252",2,6,9,0
"4752",2,6,10,0.429441081639264
"302",2,7,1,0
"802",2,7,2,0
"1302",2,7,3,0
"1802",2,7,4,0
"2302",2,7,5,0
"2802",2,7,6,0
"3302",2,7,7,-1
"3802",2,7,8,0.405928146052361
"4302",2,7,9,0
"4802",2,7,10,0
"352",2,8,1,0
"852",2,8,2,0
"1352",2,8,3,0
"1852",2,8,4,0
"2352",2,8,5,0
"2852",2,8,6,0
"3352",2,8,7,0
"3852",2,8,8,-1
"4352",2,8,9,0.390435159451633
"4852",2,8,10,0
"402",2,9,1,0
"902",2,9,2,0
"1402",2,9,3,0
"1902",2,9,4,0
"2402",2,9,5,0
"2902",2,9,6,0
"3402",2,9,7,0
"3902",2,9,8,0
"4402",2,9,9,-1
"4902",2,9,10,0.316765053634998
"452",2,10,1,0
"952",2,10,2,0
"1452",2,10,3,0
"1952",2,10,4,0
"2452",2,10,5,0
"2952",2,10,6,0
"3452",2,10,7,0
"3952",2,10,8,0
"4452",2,10,9,0
"4952",2,10,10,-1
"3",3,1,1,-1
"503",3,1,2,0.471432455181895
"1003",3,1,3,0
"1503",3,1,4,0
"2003",3,1,5,0.525400142160253
"2503",3,1,6,0
"3003",3,1,7,0
"3503",3,1,8,0
"4003",3,1,9,0
"4503",3,1,10,0
"53",3,2,1,0
"553",3,2,2,-1
"1053",3,2,3,0.562356206444627
"1553",3,2,4,0
"2053",3,2,5,0
"2553",3,2,6,0
"3053",3,2,7,0
"3553",3,2,8,0
"4053",3,2,9,0
"4553",3,2,10,0
"103",3,3,1,0
"603",3,3,2,0
"1103",3,3,3,-1
"1603",3,3,4,0.330822429829771
"2103",3,3,5,0
"2603",3,3,6,0
"3103",3,3,7,0
"3603",3,3,8,0.481562228887614
"4103",3,3,9,0
"4603",3,3,10,0
"153",3,4,1,0
"653",3,4,2,0
"1153",3,4,3,0
"1653",3,4,4,-1
"2153",3,4,5,0.485799667282826
"2653",3,4,6,0
"3153",3,4,7,0
"3653",3,4,8,0
"4153",3,4,9,0
"4653",3,4,10,0
"203",3,5,1,0
"703",3,5,2,0
"1203",3,5,3,0
"1703",3,5,4,0
"2203",3,5,5,-1
"2703",3,5,6,0
"3203",3,5,7,0
"3703",3,5,8,0
"4203",3,5,9,0
"4703",3,5,10,0
"253",3,6,1,0
"753",3,6,2,0
"1253",3,6,3,0
"1753",3,6,4,0
"2253",3,6,5,0
"2753",3,6,6,-1
"3253",3,6,7,0.240627042355252
"3753",3,6,8,0
"4253",3,6,9,0
"4753",3,6,10,0.468999737546435
"303",3,7,1,0
"803",3,7,2,0
"1303",3,7,3,0
"1803",3,7,4,0
"2303",3,7,5,0
"2803",3,7,6,0
"3303",3,7,7,-1
"3803",3,7,8,0.255903556809898
"4303",3,7,9,0
"4803",3,7,10,0
"353",3,8,1,0
"853",3,8,2,0
"1353",3,8,3,0
"1853",3,8,4,0
"2353",3,8,5,0
"2853",3,8,6,0
"3353",3,8,7,0
"3853",3,8,8,-1
"4353",3,8,9,0.457114762365818
"4853",3,8,10,0
"403",3,9,1,0
"903",3,9,2,0
"1403",3,9,3,0
